"well","compound_id","compound_conc","row","col","dHm_fit","Tm_fit","BS_factor","T_onset","dG_std","val_t_310.15","val_t_311.15","val_t_312.15","val_t_313.15","val_t_314.15","val_t_315.15","val_t_316.15","val_t_317.15","val_t_318.15","val_t_319.15","val_t_320.15","val_t_321.15","val_t_322.15","val_t_323.15","val_t_324.15","val_t_325.15","val_t_326.15","val_t_327.15","val_t_328.15","val_t_329.15","val_t_330.15","val_t_331.15","val_t_332.15","val_t_333.15","val_t_334.15","val_t_335.15","val_t_336.15","val_t_337.15","val_t_338.15","val_t_339.15","val_t_340.15","val_t_341.15","val_t_342.15","val_t_343.15","val_t_344.15","val_t_345.15","val_t_346.15","val_t_347.15","val_t_348.15","val_t_349.15","val_t_350.15","val_t_351.15","val_t_352.15","val_t_353.15","val_t_354.15","val_t_355.15","val_t_356.15","val_t_357.15","val_t_358.15","val_t_359.15","val_t_360.15","val_t_361.15","val_t_362.15","val_t_363.15","val_t_364.15","val_t_365.15","val_t_366.15","auc"
"A01","DMSO",0,"01","01",173837.418050598,330.506281076228,0.943152730822943,308.125705623112,17018.5339343477,0.044375009657962,0.0369721988241629,0.0327456211822058,0.0285701838675407,0.0290184637809668,0.0324921586783651,0.0404437201153126,0.0512963124727061,0.0679762113417589,0.085941357903228,0.109583603649212,0.132952991288351,0.164781372450572,0.197692837570767,0.23023093106009,0.263831884438856,0.30274349476521,0.345462939126207,0.384896254186809,0.42948800496685,0.477762605601881,0.532425990668817,0.580993748812434,0.629037281322404,0.675204196905021,0.714110284775881,0.749910365214535,0.779975131171099,0.808391685470888,0.829884820746975,0.848517666596429,0.869580821959334,0.885207954745195,0.901973169871632,0.914693046861904,0.928568940639947,0.939747920222557,0.949542648192463,0.95923957232942,0.967580723760332,0.97333300776565,0.980275737061874,0.985909565997493,0.990253621842615,0.993326660992154,0.996370050957459,0.998167117120666,1.00115829693783,1.00170997631973,1.00345625468208,1.00160357389337,0.99976826524414,0.997950085533089,0.994971267003697,0.989675822834175,0.984429118716012,0.976907792175226,0.346399614772341
"A02","DMSO",0,"01","02",176283.503338959,330.437256903009,0.942331920832378,308.355392128984,17224.7851631878,0.044684822592584,0.0358054769359721,0.0318055529588222,0.0294358805589414,0.030206832287969,0.0355793126862771,0.0393389674415239,0.0475778552295497,0.0631909378347203,0.0845135447986138,0.105500704018664,0.133490408848972,0.161046599060222,0.193953252779218,0.229222985511842,0.263958851025277,0.302405782298557,0.344480775819739,0.388713200802771,0.435055512026777,0.483461551144281,0.532526603144722,0.587636934006296,0.633917795272884,0.679542791546359,0.7218825239092,0.755756301559299,0.785250186162565,0.810454715503791,0.832743393603592,0.853452383051373,0.872613676627382,0.887739237941272,0.9051656897373,0.918632775358428,0.931922813012158,0.943812588322688,0.951891907896994,0.962288801018529,0.968943173637618,0.976708302507085,0.981999427699421,0.988404482552497,0.991210362114446,0.993981413985187,0.997876870849487,0.99942159662364,1.00209196935297,1.00245492028621,1.00281350171831,1.00204386528922,0.999048900365551,0.9971999877793,0.994268702725652,0.990274019855349,0.985234472879488,0.978083191533972,0.345115641289427
"A03","NCGC00355887-02",10000,"01","03",130515.149279174,332.969082538956,0.956456628486908,303.398289214024,13648.1673333861,0.0657625714983785,0.0574109733905306,0.0505136949381414,0.0462896179195558,0.0471585919145611,0.0492483651539949,0.0611041030028976,0.0702944252594531,0.0865122128309309,0.101221062487903,0.121534676459623,0.146123938491129,0.166776033545534,0.197340486396646,0.222795477705827,0.250024648229059,0.280092213488541,0.310714418472409,0.339690063296157,0.372479846140374,0.402540143634713,0.439521058596295,0.47269204521073,0.505289405175588,0.540438468821334,0.573961984875251,0.605901053175588,0.638317125381579,0.669193371662767,0.699562008593973,0.726477037672835,0.754913063291912,0.779011584062313,0.802726534041249,0.823202017814699,0.841461678922225,0.858497334550089,0.872471513566403,0.886231780656848,0.899783010248674,0.908570936226875,0.919942288983317,0.929348232183783,0.936832231167326,0.944206697722803,0.950595339595721,0.956891828895819,0.96223204953332,0.966636397761719,0.971832428533079,0.974411965899816,0.977797569416919,0.979464045530617,0.981107638908976,0.98190406203839,0.981051357714794,0.980210125760009,0.418626055500881
"A04","NCGC00355887-02",3333.33333333333,"01","04",141349.48092893,332.529470147229,0.956367555101184,305.107672914015,14613.8032751531,0.0572249781659373,0.0482817241542303,0.0406933437143039,0.0395156888975024,0.0396114127586953,0.0447352408156895,0.0548203778732882,0.0623242850329163,0.0772064226408709,0.0956642744243485,0.112731616593343,0.13454931719504,0.157398072753082,0.186120759274342,0.21218007696494,0.242832254071718,0.27682026813459,0.310521256789914,0.343938840601682,0.377076579495368,0.413473790735294,0.448395024717781,0.486534024211925,0.522030812509183,0.559554981123772,0.597927152056288,0.632537620101001,0.66686764763741,0.698639509726893,0.729020024929387,0.755763042540428,0.782292823364921,0.806367020747749,0.828014771937424,0.847264755019579,0.865254427318235,0.880893674380984,0.89420995131337,0.906326610115399,0.918349642280005,0.928104360736174,0.938867994652449,0.946310687343247,0.95369674485284,0.959955420891087,0.966166831193312,0.970204850075159,0.975271946769086,0.978190426814864,0.983190120998309,0.983962490766996,0.98577285535535,0.986530041058889,0.98728167614388,0.985963293264724,0.983625996520449,0.981305647190331,0.40967779856586
"A05","NCGC00355887-02",1111.11111111111,"01","05",149229.46630964,331.797924125287,0.952730393732486,305.820695658887,15133.4935951795,0.0536417544205629,0.0441192498868987,0.0404054541028343,0.0367171783090634,0.0373319491546879,0.0407846518754307,0.0498787949899171,0.0603227244059196,0.0777294162846444,0.0964208391737634,0.117781286123546,0.14178398210016,0.16562668673524,0.194844197971093,0.22386824774476,0.251326579492903,0.286822206881843,0.320719951940374,0.357117582528369,0.394634403667726,0.430555781235461,0.474329653986204,0.515134866096962,0.554338878482455,0.593291623312774,0.635986334903859,0.670452911362708,0.704700687102004,0.736096442496228,0.764667164023013,0.787820773831044,0.813439759707465,0.83239275077374,0.851227673035883,0.869945626343237,0.885969503268448,0.899324245119083,0.911315651424275,0.923233502086954,0.933805141358127,0.944312329226769,0.952224471241776,0.958826911647945,0.96664740928228,0.973166645881515,0.977145951743237,0.981101432988214,0.986276230048103,0.988941772380662,0.991591497814657,0.991761753034213,0.991931003946136,0.993323910863722,0.991045467558445,0.98756285574356,0.982886605972021,0.978237539753033,0.396194914090076
"A06","NCGC00355887-02",370.37037037037,"01","06",169223.821151769,331.468503593963,0.942376108653529,308.390975202747,17010.0158298483,0.0438095539901952,0.036242798141083,0.033411719141765,0.0321519483628947,0.0309110469833577,0.0327003092199451,0.0389474053269907,0.0495543790650222,0.0585340894216297,0.0732336524049697,0.0906262949171688,0.113537647795715,0.137556599199765,0.168345167902274,0.197293273063014,0.234250767256258,0.274876439983194,0.309417463302902,0.353102338129465,0.39347113396991,0.436009557595542,0.488749127166212,0.538118757739383,0.584184732215482,0.630970092727972,0.67190609105015,0.707105558280568,0.740561059035863,0.7697338268422,0.795982787542014,0.818093058594862,0.842451768353351,0.860238151350106,0.880298513073529,0.896397111672219,0.91106873747377,0.924339253106317,0.936233899967866,0.946777316767675,0.95599355740752,0.965101068052376,0.971725856959116,0.977092373748829,0.984745041077496,0.988807263082403,0.991662208166445,0.995638735322539,0.997275060267794,1.00003406051616,1.00049271542331,1.00094626068859,0.999150487268788,0.997374499231627,0.99450812020378,0.989465370510277,0.983379455365991,0.977359147621589,0.368516900861423
"A07","NCGC00355887-02",123.456790123457,"01","07",170007.413001744,330.761130076203,0.94687261282177,307.877180981649,16761.7454264996,0.0449792781280794,0.0397461569606124,0.0299009429846462,0.0278439491852071,0.0304174278806124,0.032973304789776,0.0416249441715792,0.0563102312197965,0.0678601972233944,0.0884091995485899,0.107312274609484,0.135104791233141,0.161213989945737,0.191627419403862,0.223326774193803,0.257782110324392,0.294966177822029,0.336325155345112,0.380349786152804,0.424087060313548,0.471915867078566,0.519434511146558,0.569544532083623,0.613553301589223,0.657279430098395,0.697854933287869,0.733879199776615,0.768248093517147,0.79244717712627,0.817910504815724,0.838975171754953,0.859907527552929,0.876497135705113,0.894382703365427,0.907971505215405,0.922866842182604,0.933510476708468,0.944088493041497,0.954601496122912,0.963676297389704,0.97269566497256,0.977563845756241,0.982402469666923,0.987211805069145,0.990639057312224,0.994045688989922,0.996086942333355,0.998115987628417,1.00013293406692,1.00080493998018,1.00147296258675,0.999486893463045,0.99751252736979,0.99554976116965,0.989658207792281,0.982491474022784,0.976672257838583,0.356824215656036
"A08","NCGC00355887-02",41.1522633744856,"01","08",172529.876558179,330.394122692776,0.939211564400357,307.870272943733,16837.6920950391,0.049271632421796,0.0379046154730707,0.0346809535687228,0.0315066667932459,0.0315193478235775,0.0362044035499192,0.0439110363774073,0.0530375144742499,0.0696446525198956,0.0875205086755165,0.112641085975055,0.137399116400383,0.164761213589656,0.199078466424821,0.231452426412864,0.266268829353744,0.307791227300011,0.350167480019512,0.396216865479012,0.440229166619395,0.487842649831282,0.538984602335079,0.589442740023061,0.633745337666559,0.678825675114741,0.716548290014314,0.751090556760863,0.781178347007156,0.805570290901973,0.82833188434923,0.848183746960574,0.86778523667797,0.883259073240965,0.901112058264834,0.914910124595924,0.928538450433293,0.940737795291462,0.950279523933777,0.960953104943957,0.967779677818115,0.976989221174776,0.981189853857858,0.986558633528659,0.990653914766533,0.994701459436491,0.996309054393472,0.999087754584086,0.999468993649611,1.0021980445601,1.00255735133503,1.00174977984087,1.00095125279591,0.997861857419739,0.994806678715134,0.989510720464783,0.982010801590147,0.975717416825399,0.344657840047996
"A09","NCGC00355887-02",13.7174211248285,"01","09",178358.396563077,330.129179217487,0.944683501989397,308.326584208826,17277.3431968477,0.0445145771926723,0.0384057801940257,0.0307779640827109,0.0297330960112916,0.0303047947938009,0.0324514413566963,0.0424179364232023,0.0475422003492073,0.0680305613337516,0.0866467743144462,0.11255440095697,0.13954629107722,0.16759611181643,0.198161325556735,0.23706635775857,0.272437399927613,0.31159790559883,0.35733301632468,0.40378763870949,0.449530454202405,0.500193797196634,0.550092560016728,0.602009910240755,0.649037261486086,0.694008029442638,0.732909590314482,0.76721710789058,0.795696997116918,0.822445126279567,0.843556154468282,0.864368848201164,0.881002496510069,0.89869099495758,0.911023779099839,0.925724977747605,0.938965219636483,0.947018962617242,0.95745090182289,0.965273292475827,0.971764946094673,0.979389622542204,0.984492887402537,0.988326841098037,0.992111172647844,0.995846839232877,0.998354996869084,1.00083131012387,1.00211148926596,1.00221802846111,1.00232324027935,1.00242714937389,1.00025733446361,0.998114057425702,0.995996834363034,0.990558303951216,0.985185091066249,0.978773715207191,0.328701713395668
"A10","NCGC00355887-02",4.57247370827618,"01","10",171158.943106961,330.476959397822,0.946445722847418,307.774101755324,16742.6141128714,0.0458264344430949,0.0386840543451038,0.0316210718033675,0.0277468111948457,0.0285554571739756,0.0339702048355783,0.0423859695281229,0.0537540635710481,0.0710538298928862,0.0926846700794586,0.117080056523073,0.142706630669812,0.172508172329562,0.199049808834502,0.23264571569191,0.268810471267702,0.304602229646847,0.347244768724674,0.388015750808797,0.434088414684017,0.479695496730582,0.529087751782598,0.582208377921243,0.627797733984472,0.671541958653936,0.71346833139025,0.748084028215918,0.779615553605735,0.804008372865033,0.828165415160962,0.848030048233124,0.867704511194823,0.88451062085615,0.899823271133047,0.912335804788994,0.927373929263103,0.937009912944316,0.946556223847369,0.957317308922877,0.96538478814021,0.974669465028094,0.980013291327781,0.984029021259151,0.988008395654327,0.991951905993944,0.994597757309655,0.995963335610744,0.997316770815894,0.999903739557655,1.00122788056355,1.00130581623189,1.00015387850481,0.997788115184857,0.995442842261095,0.99069121091412,0.984772298396038,0.978903993396202,0.352049643151665
