"well","row","col","dHm_fit","Tm_fit","BS_factor","T_onset","dG_std"
"D16","04","16",138689.891356203,335.541442371442,0.952650239770394,307.151718288792,15455.0658288177
"D17","04","17",164077.358887777,331.116273709062,0.945832612620821,307.415400191439,16335.7090908409
"D18","04","18",135793.969092927,335.053909878474,0.946827603878779,306.191402118581,14956.7823257558
"D19","04","19",158989.588854821,331.28794703423,0.943552312055619,306.860149854307,15903.3512134407
"D20","04","20",131207.228282162,335.160030088414,0.952573002689987,305.360202101621,14488.5518277918
"D21","04","21",166983.015023892,331.743328047632,0.956015410392943,308.340550445008,16909.2027715923
"D22","04","22",140818.323106718,335.444919509597,0.949333834399136,307.463928878372,15656.2455422468
"D23","04","23",169611.223309425,331.353799586708,0.950891445063971,308.340701529809,16996.1445242124
"D24","04","24",136248.161822374,335.151937718826,0.955201261927037,306.361265746309,15042.2701786241
"E01","05","01",169837.528408894,331.091684867766,0.957074416182018,308.142214093863,16897.8400704945
"E02","05","02",132452.661358126,334.708943878035,0.959522992616539,305.240596212134,14467.2841931964
"E03","05","03",174930.320795139,331.280514338526,0.957343252180546,308.929509268206,17494.3325988198
"E04","05","04",132382.714792376,334.641026660932,0.955070410787387,305.169917281675,14435.7110756474
"E05","05","05",172321.551045096,330.889083494168,0.956267131879398,308.274562278623,17049.9721173465
"E06","05","06",134850.048208403,334.71178756124,0.958660949850724,305.721486404151,14730.1618838762
"E07","05","07",171475.049786428,330.972121868035,0.953406514852793,308.242614667919,17004.9820197895
"E08","05","08",144991.804559653,334.963511679748,0.941001666757173,307.797493437102,15935.041592613
"E09","05","09",173044.921633833,331.001548780045,0.957300072408076,308.46033215963,17174.522914304
"E10","05","10",134501.009481444,334.452671337118,0.954769270031249,305.436694274661,14599.2134617871
"E11","05","11",162386.144890229,330.769689632852,0.957481335829409,306.888078854532,16014.1204379223
"E12","05","12",132595.903292383,334.485277877665,0.951524776774981,305.083568401216,14403.9493221907
"E13","05","13",168294.237192626,331.112747218859,0.956489403912926,307.964695122057,16753.9318421484
"E14","05","14",137359.704451497,334.191618580067,0.949546608929109,305.770650520344,14813.854689553
"E15","05","15",169994.33074426,330.966778801298,0.953843600946541,308.053709373219,16855.6686254554
"E16","05","16",135933.544380335,334.768136211793,0.951454166411355,305.979768063914,14868.8973215832
"E17","05","17",167367.670554581,331.151026889071,0.954454423918211,307.878638548263,16679.11178842
"E18","05","18",138533.773935273,335.064975421976,0.949049516556961,306.723211643444,15262.6243715679
"E19","05","19",172728.129373774,331.106796519036,0.956444347127589,308.513186875267,17192.5368875897
"E20","05","20",132275.461233969,334.622396046452,0.950418591975291,305.132635660563,14417.4540208682
"E21","05","21",171643.374840375,331.725435968624,0.95488385502982,308.916760606652,17372.804483816
"E22","05","22",140329.43092327,335.278052954824,0.942801686139605,307.23448984343,15539.8138843924
"E23","05","23",172490.222704263,331.233194219238,0.953301766606918,308.593866653777,17228.1270060986
"E24","05","24",140820.870235151,334.711064770153,0.94093401265944,306.847745834885,15382.1056414498
"F01","06","01",177763.072515422,331.595969231134,0.957534430077672,309.536909336452,17929.8266730089
"F02","06","02",139940.674781073,334.647406744989,0.948222522550427,306.633719565651,15262.2480399051
"F03","06","03",175285.429882056,331.210946718376,0.959137259153914,308.911226267688,17496.7111300395
"F04","06","04",137226.375176842,334.690514138822,0.951737787377544,306.162912821609,14981.9671922008
"F05","06","05",169146.441119178,331.075825942239,0.959038902192183,308.041243806005,16821.7847473129
"F06","06","06",130666.482804367,334.830904339096,0.953112225810262,304.974861781942,14314.5829550403
"F07","06","07",165144.32694597,330.711756969944,0.95614171067652,307.208599667303,16260.0491988812
"F08","06","08",135361.241131884,335.126261853224,0.955368521236996,306.16749412998,14935.1252545587
"F09","06","09",168644.120687575,330.955875302307,0.960638926209633,307.873620431435,16716.7843407831
"F10","06","10",137050.348845541,334.796239932941,0.950996763059699,306.217847883694,15001.3033828962
"F11","06","11",168918.981790199,330.887642622243,0.955531051979183,307.849502632021,16712.6496901972
"F12","06","12",130970.608180809,334.560520015275,0.949806883842281,304.813597247547,14253.6481900566
"F13","06","13",163495.291051739,330.805480218523,0.955596604859554,307.069306168583,16139.4461761483
"F14","06","14",138754.917739011,335.13124371531,0.94884651753162,306.820112529272,15311.402699186
"F15","06","15",169211.746000555,331.295324889985,0.956394285712098,308.239535046403,16929.2406956014
"F16","06","16",136106.745890428,334.337066777573,0.949368347712524,305.653019418168,14731.5520528022
"F17","06","17",169605.527598654,331.124002071195,0.957730613595035,308.140987441436,16889.6636406372
"F18","06","18",132461.971005642,335.055238581107,0.953528004234083,305.530464497044,14590.2528299182
"F19","06","19",168291.29182823,330.95856856199,0.95752661441123,307.830939336012,16683.0440750418
"F20","06","20",139001.562261503,335.098085406828,0.955023139026563,306.83830973099,15326.3829839117
"F21","06","21",179608.706109049,331.685079951511,0.953591678023649,309.826404473123,18159.3706905203
"F22","06","22",142033.398855684,335.572402432492,0.955401277430454,307.790743497351,15839.2971898258
"F23","06","23",175039.618033573,331.350383768,0.957078626020732,309.003288250588,17538.481251278
"F24","06","24",142186.41855034,335.340090970687,0.94701565137587,307.622684909465,15768.8447730086
"G01","07","01",166506.538536241,331.001342108905,0.958376929278077,307.637483182322,16525.5017577056
"G02","07","02",136377.074063151,335.151519802852,0.952553295549639,306.385795436381,15056.3512573985
"G03","07","03",168275.241131455,331.12393283646,0.945104115011494,307.97194085306,16757.1593257446
"G04","07","04",146493.696458221,336.020326135134,0.954917676739952,308.947238312128,16510.2037886334
"G05","07","05",178963.301068749,331.526067913771,0.949035035563008,309.614104182031,18016.9581479089
"G06","07","06",140629.886414112,335.451135815282,0.950580389312655,307.434788445019,15637.611361999
"G07","07","07",176920.273058263,331.954755290174,0.947558039292517,309.751265172598,18016.7521064047
"G08","07","08",140214.908580423,335.517198621367,0.952545014433396,307.414275916608,15616.0052603272
"G09","07","09",169076.346122759,331.607728135461,0.947851669788099,308.492743672933,17059.0427868484
"G10","07","10",143598.806660404,335.662286040641,0.953671324219854,308.144528415956,16048.0332005115
