"","measurement","avg_dmso","sd_dmso","avg_530","sd_530","zprime","zprime_check"
"1","dHm_fit",172208.503803729,4460.04335102453,138318.556251929,3954.39133054074,0.255138887243426,FALSE
"2","Tm_fit",331.399199740235,0.401613064762171,335.252572528253,0.431270390321619,0.351567963260543,FALSE
"3","BS_factor",0.95182437963824,0.0041911406121802,0.951199454813862,0.00366324153932313,-36.7055695906889,FALSE
"4","T_onset",308.690949837004,0.819393261762376,306.821569488097,1.00735770816982,-1.93158795266045,FALSE
"5","dG_std",17280.5248738953,586.742139827402,15310.3047355713,548.023798555319,-0.727876874735472,FALSE
"6","val_t_310.15",0.0445428469222117,0.00504601207489262,0.0421601692163957,0.00524235058548033,-11.9539500477881,FALSE
"7","val_t_311.15",0.0378072954635199,0.0043675052579956,0.0384231520685264,0.00541640429936632,-46.6600046723164,FALSE
"8","val_t_312.15",0.0311733288589165,0.00430837357775512,0.0344949236957015,0.00514624106319415,-7.53922447395834,FALSE
"9","val_t_313.15",0.028226185734626,0.00417948017721637,0.0325159947289908,0.00503726370645934,-5.44556242185824,FALSE
"10","val_t_314.15",0.0278271297613421,0.00371486679932833,0.0324245959839868,0.00462549790389421,-4.44236605511688,FALSE
"11","val_t_315.15",0.0312042235731503,0.00384914920187355,0.034421717610772,0.00482291076849201,-7.08585178617061,FALSE
"12","val_t_316.15",0.0368375645215421,0.00414473058337923,0.0382477166564393,0.00488679404392141,-18.213936717457,FALSE
"13","val_t_317.15",0.0471139616707562,0.00529665561817136,0.0454275914316728,0.00549480418248298,-18.1976700321514,FALSE
"14","val_t_318.15",0.0593513213925584,0.00713180417816068,0.0533211184291929,0.0065168280616014,-5.79013574966546,FALSE
"15","val_t_319.15",0.0749759407877787,0.00865127407843034,0.0643855693383882,0.00748781485583229,-3.57181950927454,FALSE
"16","val_t_320.15",0.0935545088460658,0.0108382647133713,0.0775419907443504,0.00841614740154067,-2.60737992474447,FALSE
"17","val_t_321.15",0.115142132919955,0.0130397590193136,0.0926101007961818,0.00980351574458326,-2.04144002259722,FALSE
"18","val_t_322.15",0.139506282704849,0.0152327673057147,0.109871981861977,0.0111214289291629,-1.66794175856693,FALSE
"19","val_t_323.15",0.167715673913359,0.0174049645882374,0.13013412680275,0.0127666790470689,-1.40849400477092,FALSE
"20","val_t_324.15",0.198280692527813,0.0193465107560893,0.15206453258953,0.0144309325916935,-1.19257355389688,FALSE
"21","val_t_325.15",0.231905735690074,0.0204052394991613,0.176284606471239,0.0157179077014321,-0.94835026048125,FALSE
"22","val_t_326.15",0.268724521830829,0.0210849624803352,0.203069493974423,0.0170562681051894,-0.742801663367328,FALSE
"23","val_t_327.15",0.308167140221283,0.0211632051200175,0.232175970024685,0.017644600959193,-0.5320650798827,FALSE
"24","val_t_328.15",0.349867318935645,0.0207941466449709,0.263153841724234,0.0178432422472881,-0.336726082315661,FALSE
"25","val_t_329.15",0.393514303235516,0.020204191370199,0.295019144569781,0.0175561379014986,-0.150117318959177,FALSE
"26","val_t_330.15",0.439749336208032,0.0195363653324562,0.32795609213953,0.0173852691215513,0.00919859437883319,FALSE
"27","val_t_331.15",0.487642587255862,0.0182175118753639,0.36161486990429,0.0168004349725875,0.166422730241223,FALSE
"28","val_t_332.15",0.536702686709551,0.0170561656686445,0.39542816481519,0.01646914614928,0.288081572635014,FALSE
"29","val_t_333.15",0.585700024284129,0.0156522482942105,0.429428255651513,0.0162151034933974,0.388232076725407,FALSE
"30","val_t_334.15",0.633109148001834,0.0139083894372493,0.463873099154251,0.0156390988784687,0.47621995697272,FALSE
"31","val_t_335.15",0.676755426177984,0.0124763090826639,0.497602737771321,0.0150364431950251,0.539285413090138,TRUE
"32","val_t_336.15",0.715440193459625,0.0116547095687517,0.530977664357446,0.0147810680769047,0.570062639155084,TRUE
"33","val_t_337.15",0.749184941620018,0.0109107009803302,0.563991248885703,0.0143040271827546,0.591540168715269,TRUE
"34","val_t_338.15",0.778420253269844,0.0105920789845098,0.596018018596255,0.0138054470779654,0.598729816449866,TRUE
"35","val_t_339.15",0.803975481455147,0.0101699046026069,0.627360260759414,0.0134027607291538,0.599592856625238,TRUE
"36","val_t_340.15",0.827070048703555,0.00952964854007354,0.658418271847903,0.0128135709280534,0.602555871903139,TRUE
"37","val_t_341.15",0.848463544092748,0.00876100702645855,0.689543933620768,0.0122009435315197,0.604291430823621,TRUE
"38","val_t_342.15",0.867234181787015,0.00810914890268642,0.719916287483195,0.0115445155134805,0.599770323034194,TRUE
