Parameters,Condition,kN_init,bN_init,kU_init,bU_init,dHm_init,Tm_init,kN_fit,bN_fit,kU_fit,bU_fit,dHm_fit,Tm_fit,S,BS_factor,T_onset,dCp_component,dG_std
H1,,-6.454545454545359,3080.022727272696,-6.739393939393969,2473.101818181829,100000.0,331.15,-3.6816542522376583,2235.8198694442335,-8.946534999135869,3267.7709112761986,177668.4730688442,330.2190182406332,6.48991143478267,0.9448927707049165,308.32585478763264,-1.610190034703642,17254.165232476982
H6,,-5.581818181818095,2800.419090909063,-7.018181818181848,2574.9254545454655,100000.0,332.15,-3.059717522576808,2034.4001353049566,-9.222169579639566,3368.5374905456133,174379.0642641491,330.6664718947414,7.166563645280715,0.9388847784337702,308.3298135034104,-1.653917689834973,17147.76799016218
B10,,-7.096969696969589,3272.7615151514797,-5.515151515151535,2024.9545454545535,100000.0,331.15,-4.206174959379781,2393.942656822408,-7.919467630337917,2890.0310221175405,174372.43553869036,330.4456255300563,7.283216816956953,0.9402159870146405,308.13699649274497,-1.6322670329174116,17042.03792042395
E9,,-6.951515151515037,3202.7942424242037,-6.018181818181846,2209.375454545465,100000.0,332.15,-3.849156677841438,2254.488089318546,-7.733949515421718,2825.399210450087,171153.16266313812,331.0054090783851,5.953057320384484,0.9500426197897918,308.23167272634095,-1.6874039905020375,16988.565806261944
D8,,-7.163636363636248,3300.6381818181435,-6.078787878787903,2231.0936363636456,100000.0,332.15,-4.535058518564092,2501.3964406556706,-7.559772740136261,2761.144503008449,167823.29398690193,331.6930465083146,5.803033953703457,0.9531716693461915,308.4060300344822,-1.756300961372883,16971.427693887737
G2,,-7.581818181818083,3443.3190909090586,-5.830303030303053,2141.1290909090994,100000.0,331.15,-4.775155506699889,2592.414109044936,-8.285018365796473,3024.2822956676423,173477.5739821947,330.33666368244303,7.7510521069240825,0.9360797893220517,307.935044122759,-1.6216340167232524,16902.9506684692
A2,,-8.830303030302884,3798.954848484801,-5.012121212121233,1841.5336363636445,100000.0,331.15,-5.557222241315074,2800.7943052194178,-7.198449082686876,2627.7362668606993,171129.15228599863,330.6616196926581,6.836296878730373,0.9426924874552469,307.9305715809121,-1.6534405750028114,16825.919871258946
C12,,-6.927272727272628,3264.7663636363313,-6.181818181818204,2269.0545454545536,100000.0,332.15,-3.6368659348675942,2260.968982642639,-8.32354716718477,3038.248384111178,169029.8521983661,330.97629801915673,7.047482579279886,0.9453613636334496,307.94030781275904,-1.684515596406193,16764.415867859007
E1,,-8.793939393939302,3715.7130303030003,-5.012121212121231,1841.5336363636436,100000.0,331.15,-5.7129928827256515,2775.13869127056,-7.017827233753778,2562.9344064007137,170006.63983125435,330.7001815515974,6.138574958899731,0.9427828303500291,307.82427673969255,-1.6572341173137382,16733.425925322503
C1,,-8.557575757575638,3701.041212121172,-4.987878787878808,1832.566363636371,100000.0,331.15,-5.409521130685357,2743.9734704818698,-7.354265964168016,2684.383926737493,172460.47445679668,330.04755612844787,7.203937965430364,0.9383794113331732,307.5608974631355,-1.5935788020923738,16667.500067122215
