Parameters,kN_fit,bN_fit,kU_fit,bU_fit,dHm_fit,Tm_fit,T_onset,dG_std,dCp_component
A1,1.3907011731668564,431.60327269765764,0.40456901871227435,146.24739626463818,7056.503091555669,0.3888318951495507,167.9345453335867,9501.280535833435,0.5234531343781369
A10,1.371041170122217,424.4759143459304,0.6205263680478521,226.6001976873677,5935.772552714635,0.34767518200361847,139.80562243093482,7969.811275882533,0.46674645692025923
A11,1.1940531005357293,370.25380748878405,0.44221286921537556,160.5912370153308,6431.790285510389,0.36467395114945633,152.3490055433293,8644.425077881124,0.4900483373562965
A12,1.4291346493752952,443.47160178242086,0.46543214455839127,168.64412941673643,7004.310710029111,0.3819750808238031,166.3587757011191,9426.504142991755,0.513984204188519
A2,1.4432534219923723,448.30569818963875,0.43275082112775176,156.41157107854448,7120.225137485375,0.36463927641259325,169.62054707262106,9588.785407317566,0.4909812729234056
A3,3.0957960243340064,945.6154767797241,1.2927667190381154,476.48709765502446,10277.505097325291,1.3414611986090212,237.37248613761665,13774.123318619324,1.797060581131207
A4,2.753182378071209,844.0933730733018,1.2275288018290618,452.20647679330165,10057.940680566504,0.9662780523915153,233.34427732989536,13487.470380010798,1.2954123112144456
A5,2.401920462575206,736.3001051535067,1.2439076133602498,459.30512097809356,9955.620798781298,0.8824514059939317,230.55269855020478,13335.802294830704,1.1818098427842656
A6,5.021638126147521,1541.41925044259,3.7739083921223306,1405.4575348293672,17984.027384671124,1.322867382638902,414.61147436831834,24077.181302618166,1.7708290976469934
A7,4.428484657332269,1359.9318462260944,2.2802732853242853,844.0462784846281,14821.05822819485,1.139596692702165,343.421509440481,19896.88910897374,1.5296252771461791
A8,2.4549238776069604,752.8239455696948,1.729413941459432,641.858441835945,9618.404701068266,0.7235536400247711,222.03858742747022,12862.11010688479,0.9674248338779019
A9,1.8427665539482239,566.6874084502956,1.0516176605248804,387.7721818835991,7369.237524014137,0.5458263292538081,171.28577114265465,9868.660215203832,0.7308336193829529
B1,1.4039610818063437,437.60970393886885,0.572122201698059,206.92107838281402,7511.969182912853,0.30387494541124294,179.3514256280173,10097.631455070636,0.4084274926112122
B10,1.4933525820560614,464.1961839784648,0.4463473704489981,161.22088744907248,7394.661581174969,0.3587096199328926,176.3723327181877,9961.183263834646,0.4831386803173041
B11,1.3170162228684277,410.4123427064872,0.4932693944266892,178.21783949550226,6908.417763952295,0.28255664849505846,165.06344199087886,9291.909877451935,0.38000039497208155
B12,1.3037016136475608,406.07940414497506,0.4782300516546782,172.87042003202578,6982.758944546631,0.29399313558183937,166.70943126723978,9394.996654317536,0.3955098285202109
B2,1.5723574701275949,484.18188095874825,0.8433824641712607,310.40130472297875,7102.515268766843,0.5073547242998598,165.52053876539352,9518.532912446663,0.6798269697270569
B3,1.708175866477224,525.5326951907986,1.0693569508370966,395.7451070376554,7674.274157956855,0.5287817100674477,178.0474509737801,10284.594523206208,0.7085440987795651
B4,1.6253934083994717,499.7163544257959,1.0708580510074288,396.8030584111431,7886.872433234843,0.5511355608031672,182.70444514251633,10563.88822182211,0.7381056487434777
B5,1.7850790768288178,548.5124524006097,1.2381734945228566,458.9601157241306,7534.242892472893,0.5327062091637955,174.39110972331406,10082.751163056837,0.7128008250666413
B6,1.0565884791809177,326.0389005318871,0.6354324083849375,233.6026076880188,6199.472597759201,0.39764939849209546,144.80965698597404,8300.186894566057,0.5323200260972368
