Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
310.15,1045.494074677095,1035.6259747421961,909.2307976645609,994.54164390024,1055.6068735731274,1102.7566466753876,1044.4662378828427,1085.366128014273,1029.8379645794435,1059.4910171144757,1063.2855139699684,1017.7323648308708,1036.4156665022326,1005.9139152756379,1088.7965156915204,1073.9349923495424,1008.552674516,1060.816113270891,1167.1755400821737,1032.6668714432724,1070.1173319538968,1039.9670258820033,1051.0397396637024,1048.173279115259,1055.6204805738876,1015.9443719754593,1023.0204351551799,1071.3081810923115,1066.2112644649906,1109.9513692680835,1057.2056163131517,1105.8104131221,1092.301396551574,1072.9803813130652,1059.5597635022245,1081.6289546948963,1065.2760891102719,962.7049738693474,998.6701397770815,1104.8401069953716,1113.234372635715,1050.8437819428532,1102.3620565062656,1088.2638487766033,1066.551254309741,1035.6006015328692,1064.0406469733925,1070.5816039970948,990.8552228772876,1050.1199119542669,1013.0178007983903,1057.5531717466015,1058.172380013985,1056.1043093498895,1108.4248045198365,1096.981646713699,1071.7220539865305,1160.573014481146,1104.4627067113095,1060.5344943850992,1071.038150625845,1195.1025519467794,1152.439512959972,1051.8212580979691,1055.4168398683873,1199.4066996262382,1124.453946294043,1060.967774729044,1109.4831478798842,1084.7191844051017,1096.8226227763587,1082.9848154910724,989.9011904521527,1096.5366554210002,1146.2031970619046,1069.187538220693,1041.4756531667515,1098.425795451821,1119.5799249138001,1123.4694072407394,1132.4595830100434,1123.8697165440424,1126.0057793233082,1097.0405279649615,1066.6270090219502,1216.955262845703,1097.3247892927352,1100.3836592673767,1072.2692777463794,1135.1271917635122,1090.4848992219665,1106.8766298823884,1098.486377629268,1128.9187568532245,1130.624146433936,1103.209820426415
311.15,1039.4727824502513,1030.9538284312061,910.0715464269266,990.1075285771262,1047.978980666374,1096.8751068650165,1036.759227711836,1079.0607582563648,1025.0457124715822,1052.5975745502292,1058.0782557914924,1011.5211980256204,1030.9979719954606,999.2696442857655,1078.7873214570045,1067.7886663866616,1009.6426348567952,1057.9706376551921,1163.4212680907542,1026.5586632728528,1065.1408649259258,1038.126502366034,1048.4677814685247,1043.1361837134175,1048.765611499456,1012.3969546468275,1018.5105065853609,1062.9159281795355,1058.3340318200114,1102.714793179045,1048.9778044167433,1100.4324565989275,1084.9267833018225,1065.1682109940446,1055.8242724080676,1074.460943052406,1059.8330200673909,967.7728380296372,998.4428406985813,1105.6269415062645,1112.2340191974806,1045.0325532358895,1097.5805306756563,1084.0827011113413,1064.8131589760965,1032.2460444188712,1063.2033292042704,1064.8614549215633,980.4490687542977,1040.412821964642,987.5268032918627,1035.5345452321747,1045.000635950208,1056.2132603256741,1103.708212112134,1090.0291322295775,1061.3186763393205,1151.466425966107,1094.6318724731298,1052.7420073314104,1063.2379777927326,1184.0762668586738,1145.5788650125617,1049.6975900792895,1058.6197511042965,1197.0940007775541,1121.1020771470223,1056.189169144058,1104.001729157344,1081.2132898007876,1090.8773384272397,1075.1654112657013,978.2663292429929,1087.1955585922578,1136.5060798791114,1057.9265081928602,1034.0779663446751,1090.2318529436518,1111.7097949043407,1115.0789139505346,1126.495328732063,1116.8901711302162,1118.9216270618792,1088.6761248531407,1060.436386529186,1210.2909852712783,1089.7295307150703,1099.397250866344,1072.0573514012017,1132.2897439719902,1085.5907665502887,1100.5549951449013,1092.1612952601558,1123.1657677968697,1127.0072267316164,1094.5612535622574
312.15,1032.891782556442,1025.7295632316054,910.2021835594386,985.0244184026404,1039.7583513109719,1090.4906542963304,1028.5120058272566,1072.1879838723285,1019.6969612423926,1045.1375984280169,1052.4066698669749,1004.7573750576651,1025.0636697081436,991.9598952669746,1068.1178069191008,1060.8664529523821,1010.0939491193959,1054.604723223339,1159.311095678305,1019.8150603988117,1059.578577924321,1035.8742079774117,1045.3705455578847,1037.596206790388,1041.3022007102945,1008.270054068081,1013.375255725388,1053.9386159263122,1049.929838642108,1094.969634641501,1040.2375519372363,1094.5656811909455,1076.9808153866375,1056.8514708087566,1051.582781662833,1066.8091540829557,1053.8888384029744,972.2515650019915,997.6255894342295,1105.9293413785604,1110.7106599723284,1038.7414751821855,1092.301012592329,1079.3774505661768,1062.541644044621,1028.3752719573858,1061.8680285217288,1058.6336121176275,969.5346916137555,1030.166324951672,961.6869628256013,1013.0410785343988,1031.2510192793632,1055.6786203722775,1098.2388467561957,1082.4401932855594,1050.3282479881123,1141.6910202782003,1084.2366151806277,1044.4064090743213,1054.9091525559606,1172.3647388645854,1138.1157434695815,1046.9797087323877,1061.4289053265338,1194.2939023015913,1117.3217211008532,1050.8830850601407,1097.9341995044722,1077.2285354343908,1084.3373435067774,1066.7287577925256,966.2236789302939,1077.3022063910175,1126.054287014364,1046.1118570306,1025.9832130670081,1081.3782655050716,1103.1678920031372,1106.0235504831371,1120.0546748486395,1109.33999554629,1111.269502879096,1079.7437759824127,1053.6993359347468,1202.79203879122,1081.5094909998481,1097.913845767599,1071.3771583484597,1129.0126293325638,1080.162032575763,1093.7266800360278,1085.2432290922895,1116.8735081458506,1122.924820430473,1085.308945119292
313.15,1025.6340052671974,1019.8337890620642,909.5204713734856,979.1915958361558,1030.8468664463105,1083.499520958022,1019.6166507861789,1064.6296269178351,1013.6696852039655,1036.9958532265907,1046.1705627075758,997.32767501588,1018.4990555133795,983.9127269429812,1056.7143485616955,1053.0708724720034,1009.8165061366111,1050.6396220899774,1154.7726284403902,1012.3310824946172,1053.3075639108247,1033.111225751793,1041.6298642576328,1031.4442988095254,1033.1050624134164,1003.4420433609683,1007.5346168548211,1044.2990264487069,1040.9142643329756,1086.6151534827077,1030.8855031980888,1088.1031200080488,1068.3426667246617,1047.923912272428,1046.7205143888564,1058.5676034787155,1047.3349249446883,976.045310240643,996.1222788546902,1105.6441387529592,1108.5502708707525,1031.8693853768193,1086.4116035558884,1074.0324370420465,1059.6179293507357,1023.8696255341098,1059.9191795105144,1051.7854702958718,958.0179693030847,1019.2775789393793,935.4845486416818,990.0368345968601,1016.8692434667801,1054.4156836833945,1091.908133163759,1074.1351179845888,1038.6720600147498,1131.1328180680364,1073.1731959447955,1035.4179764303992,1045.94492924704,1159.842280593149,1129.9298868487258,1043.5542706887786,1063.7487757587603,1190.8887814663326,1113.0114363676835,1044.9323304120585,1091.1564461500761,1072.6586268402912,1077.079351944928,1057.5523972610235,953.6901630739635,1066.746295114153,1114.7605234268576,1033.6840649925598,1017.1124315784019,1071.794577143114,1093.8758917440202,1096.2220028789764,1113.0519218604893,1101.121317074093,1102.9364360346285,1070.1313657488517,1046.3059469782613,1194.3413591499655,1072.573097730937,1095.836116023813,1070.1269999724916,1125.1962041766842,1074.0854138272996,1086.2848231335988,1077.6089030855599,1109.9239762200134,1118.2693519377383,1075.3249421732971
314.15,1017.5624520287033,1013.1258219466786,907.9141292270822,972.4971340407245,1021.1344955107076,1075.7801879955898,1009.9479724035217,1056.2476046553527,1006.8198353206924,1028.0383222472058,1039.2514764812151,989.1003405497706,1011.169745512801,975.0520392157193,1044.4989812584558,1044.2981481384932,1008.7110323128275,1045.9873634931819,1149.7204648580755,1003.989198551562,1046.1840345294943,1029.7177908636877,1037.1051758688518,1024.5515693302725,1024.028497349443,997.7706909019128,1000.9017576309312,1033.9130923279347,1031.1926183999176,1077.5342544131636,1020.8068844422127,1080.917996578027,1058.8707197609276,1038.2608223509715,1041.1007339813743,1049.6107953017265,1040.0429251400114,979.0460348611854,993.8247162703047,1104.6492742839157,1105.617683627602,1024.2973297983174,1079.778979621211,1067.9105855179487,1055.90097485681,1018.587413093291,1057.2182454630579,1044.1833567419255,945.7913539932161,1007.62825538147,908.908417220381,966.4865537397038,1001.7992307081355,1052.3320617333964,1084.597702768369,1065.0277432395396,1026.2645297379872,1119.6632357229394,1061.3229923887923,1025.649136113968,1036.2209926940257,1146.365093103063,1120.8812842551902,1039.2906866347303,1065.463368967554,1186.7360229596234,1108.0486987581428,1038.1977617171708,1083.5227030877045,1067.3771299473442,1068.959494229083,1047.4948666966284,940.5689303097582,1055.3997510422253,1102.5322279586953,1020.5803938178027,1007.3823431228983,1061.4064087392358,1083.750048858363,1085.586759171158,1105.388612924896,1092.123104318189,1093.7912129033937,1059.7090344937094,1038.128378379325,1184.8105127727017,1062.8190257380174,1093.0506372453222,1068.186125357909,1120.721199923813,1067.2275927474004,1078.1037227726788,1069.1141349853906,1102.1774878608148,1112.9116367848053,1064.4595069110303
315.15,1008.5187116914476,1005.4418138821693,905.2612637007422,964.8181042314292,1010.499367941926,1067.1918208937536,999.3624924902653,1046.8825399472853,998.9794166963968,1018.1110658832329,1031.5107490240337,979.9239736898762,1002.9187956387606,965.2982645143785,1031.39018380923,1034.4395450295037,1006.6691720861213,1040.5504809168713,1144.0544777420967,994.6595047675962,1038.0418200238269,1025.5501678996586,1031.6310770295843,1016.7672805301797,1013.9051336545903,991.0917140955593,993.3834791195943,1022.6902604684645,1020.6597720282512,1067.592243305004,1009.8706247792995,1072.8615676390325,1048.4010145450557,1027.717453273946,1034.562312049679,1039.7917189285467,1031.8627678920693,981.1329935070503,990.6122554698873,1102.8015269348246,1101.7541722363544,1015.8868860371606,1072.245886305603,1060.8511870210828,1051.2250732385398,1012.3613093835268,1053.600803772309,1035.6702757025905,932.7335227229215,995.0838330969455,881.9507517836165,942.3565951156081,985.9838916327161,1049.327919811659,1076.180348419568,1055.0259141027882,1013.0137128971846,1107.1389478660974,1048.5519588322172,1014.953329459204,1025.5941826800813,1131.7705404838691,1110.8086225548293,1034.0401345588414,1066.432952633322,1181.664203202212,1102.2867899072962,1030.5159348041627,1074.863711446793,1061.235101440349,1059.8119481549852,1036.3949170206809,926.7483820464395,1043.115602668076,1089.272604955199,1006.7355504103233,996.7063830355987,1050.136159566692,1072.7018165575446,1074.024676496693,1096.952559635558,1082.2206622234153,1083.6831135973766,1048.328134288506,1029.0196103224564,1174.060135362409,1052.1363024823345,1089.4263082239272,1065.4123662325972,1115.4460833248763,1059.4333121341876,1069.0370360829897,1059.5922560443253,1093.4704544379802,1106.697937204144,1052.539723182731
316.15,998.3222773873695,996.5936470619756,901.4313393385136,956.0213802736646,998.8084994091876,1057.573236621036,987.698183297469,1036.3532089050984,989.9554034564989,1007.0399199154634,1022.7880140770774,969.6272856767771,993.5655680294398,954.5693495316137,1017.3040026558855,1023.3833060168971,1003.5739273039403,1034.2220191958397,1137.6581193708937,984.200629232134,1028.6917353908705,1020.437677812762,1025.0154699407224,1007.9173978317231,1002.54576973166,983.2181993714134,984.880960803047,1010.5342173383273,1009.2004212532345,1056.6361210650296,997.9291164784728,1063.761443442945,1036.746566142561,1016.1280992123578,1026.9178866273978,1028.940407139108,1022.6212463670448,982.1725732688549,986.3518573358937,1099.934485462668,1096.775448886543,1006.4790020527114,1063.629107804343,1052.6682823675185,1045.3980145196213,1004.9963857274587,1048.874052279312,1026.0642279848491,918.7097498202475,981.493612350863,854.6078780560368,917.6160683764265,969.366130781225,1045.2965316791935,1066.521694453296,1044.0322903529748,998.822244943766,1093.4025059036708,1034.7107859967364,1003.1646384821238,1013.9018767533616,1115.8772469665694,1099.5283790084554,1027.6352227955938,1066.4907733137322,1175.4694254540648,1095.5518387016766,1021.6973575181905,1064.985643229439,1054.059117505862,1049.4484612537199,1024.0717379980604,912.1017637066811,1029.7275971191239,1074.882104458972,992.0826119918166,984.9961300166742,1037.9039900649452,1060.638799206047,1061.437913938936,1087.617162295013,1071.2756272820727,1072.4413287344582,1035.8209431533894,1018.812881447773,1161.9409708603835,1040.4048615053991,1084.8130610212104,1061.6400130418222,1109.2046283278494,1050.5240501591252,1058.9165121085978,1048.8533438048134,1083.6137768962983,1099.447284996165,1039.369168547156
317.15,986.7711581063763,986.36911955087,896.2868264942507,945.9652262327537,985.9194012391384,1046.7427693722275,974.7753796719406,1024.4573221817752,979.5300668333026,994.631501308314,1012.9005171865057,958.0201721492464,982.9058738341141,942.7820698630229,1002.1555651723182,1011.017263465533,999.3005557400407,1026.885925692684,1130.3968802158402,972.4616062034592,1017.9223327164426,1014.1802575453975,1017.0388182081605,997.8041403781834,989.7407680005277,973.9413988744451,975.2909276600194,997.3440643903747,996.6899440579874,1044.4947459021382,984.818955953084,1053.4208056812397,1023.6980911988841,1003.3062583380008,1017.9531290214634,1016.8635103294177,1012.1216032774845,982.0186258214507,980.8987462450317,1095.8570487382815,1090.4704645877034,995.8937305385189,1053.718376316743,1043.1501371707923,1038.200310836886,996.2693344361174,1042.8152192800894,1015.1575958946431,903.5733272643151,966.6918112316582,826.8811447360189,892.2381606293351,951.8900987735484,1040.125227300859,1055.4827314403901,1031.9455752068588,983.5888141754034,1078.284005484241,1019.6360857484755,990.098606131067,1000.9624307218114,1098.4864125285314,1086.834969815185,1019.8906352008789,1065.4400596215823,1167.9122638743972,1087.6403937269015,1011.5258559163854,1053.6703017632058,1045.6501035803658,1037.6592802211637,1010.3266863308244,896.4876660204405,1015.0509857740368,1059.260417345627,976.5542489664412,972.1631810883505,1024.6291246560556,1047.4660981590423,1047.725305422334,1077.2412035277364,1059.1366834348735,1059.8754537418145,1022.0015527912078,1007.3222112910377,1148.2956746156212,1027.4966847512928,1079.0410940139864,1056.6782381981895,1101.8040369158987,1040.297707532138,1047.5516597362807,1036.6847741903616,1072.3923525825037,1090.9494829239545,1024.729276117257
318.15,973.6444039667062,974.5340976331305,889.6856626526044,934.5018643760683,971.682822092034,1034.4995058922668,960.399373804851,1010.9742545800344,967.4634525100917,980.6760928265403,1001.6437475090727,944.8966868537204,970.7140738896164,929.8537138055455,985.861025961997,997.2321782280869,993.7180351385921,1018.4179451160848,1122.1170881582782,959.2849793503123,1005.5026843413605,1006.547114944356,1007.4551953120017,986.2071153358398,975.2636654845064,963.0335324975796,964.5073160544429,983.0160346582088,982.9960364181087,1030.9802810102112,970.3630820190091,1041.6190858245993,1009.0268225764686,989.0464433318134,1007.4278122056713,1003.3454905818239,1000.1447032903917,980.5134570708024,974.0978537256703,1090.3528478478074,1082.6015468620212,983.9313536840011,1042.276855744048,1032.0604526892887,1029.3861286524466,985.9296466549608,1035.1715435674707,1002.718248685477,887.1684144509641,950.5001809567137,798.7778502865071,866.2016532847026,933.5027040547203,1033.6968098616253,1042.923346812096,1018.6622399851108,967.2102693035594,1061.6041336267306,1003.1529863012852,975.5547846910619,986.5771785963183,1079.384823065363,1072.5024768970413,1010.6051577947061,1063.0517568584976,1158.7159966928093,1078.3180807464714,999.7597368564927,1040.6772546545283,1035.7835134374413,1024.2161210758068,994.9471042173997,879.75187617881,998.8850065097877,1042.3090383118865,960.0842749498332,958.1215039166367,1010.2315066232244,1033.088106031728,1032.7842443572806,1065.6693411689448,1045.6412589308097,1045.7775553231,1006.6684387780041,994.3445062340159,1132.9615523213142,1013.2776880942167,1071.9209320953637,1050.3104897175854,1093.024087019654,1028.5298691974226,1034.7308742715288,1022.8537296848309,1059.5663520074118,1080.9643705216395,1008.3831565972093
319.15,958.7072606474445,960.837434714358,881.4846479970782,921.4812138727225,955.9468676172505,1020.626456127248,944.3652661719634,995.6704229365056,953.4988737763497,964.9530475528965,988.79401003176,930.0405516123637,956.7479463318933,915.7041598086008,968.3399743599529,981.9258123260903,986.6911977350678,1008.6871483984569,1112.6453041014543,944.5113818235412,991.187931672514,997.2772519095295,995.9959730880416,972.8867547337991,958.8777378445715,950.2533057418568,952.4235073438263,967.445835449413,967.9813241803091,1015.8914194928913,954.3747825726022,1028.1148093311422,992.4901963281084,973.1283120878591,995.0795416840518,988.1521822085855,986.4525081143934,977.4896539703034,965.7862550940259,1083.1810984883946,1072.906548231485,970.3755003252625,1029.0440074235937,1019.1421043125208,1018.6867286078543,973.7036889744443,1025.6626836831617,988.4931847294025,869.334725151016,932.7326259060114,770.3121897715511,839.492609279498,914.1553850086315,1025.8915132572074,1028.7069394607527,1004.0788100742009,949.5844524079338,1043.1789376978913,985.0795590849976,959.3216200268683,970.5345780675606,1058.3500864340306,1056.2885751586862,999.5655326330002,1059.063622682764,1147.5670723167718,1067.3201061700447,986.1355963148937,1025.7486762646915,1024.2115577572345,1008.8778954319508,977.7128574040592,861.7310970987037,981.0176686219435,1023.9344252039014,942.6095413062308,942.7902729109059,994.6338250393654,1017.4107933297522,1016.5131411493356,1052.7335721119427,1030.6184919985517,1029.9263827017223,989.6092900520815,979.6638229315274,1115.7743986548116,997.6105072912846,1063.244691910553,1042.2954076338194,1082.617944737809,1014.977325108339,1020.224663185437,1007.1124044708283,1044.8750758254087,1069.223137061218,990.08274653139
