Parameters,Condition,kN_init,bN_init,kU_init,bU_init,dHm_init,Tm_init,kN_fit,bN_fit,kU_fit,bU_fit,dHm_fit,Tm_fit,S,BS_factor,T_onset,dCp_component,dG_std
F6,,-2.8545454545453945,2076.082727272708,-6.333333333333361,2324.1500000000106,100000.0,332.15,-0.43120850243339165,1340.0584182908494,-8.447538278699438,3086.6847407940345,186462.8736247184,331.5306483931662,8.689975647020098,0.94276840481588,310.44336858955654,-1.7399139111831303,18774.2872431652
F7,,-3.7818181818181267,2289.7490909090725,-6.793939393939423,2492.3281818181927,100000.0,332.15,-1.6679912114818993,1648.0745438392428,-8.63796399010204,3157.4715494860347,183697.77585700015,331.71538346926144,7.695965482595962,0.9424708377056502,310.3080939995396,-1.7585605021125623,18587.88164903426
B10,,-2.63636363636359,1852.2318181818027,-6.139393939393967,2253.6118181818288,100000.0,332.15,-0.2469240603115406,1122.411278082239,-8.22856912597117,3005.480305219871,184285.3104125851,331.5159351881828,6.7230701612664,0.9471299843217622,310.1973381662586,-1.7384327842320815,18547.680731757635
F5,,1.9454545454545578,450.5627272727236,-7.278787878787911,2669.6736363636487,100000.0,333.15,4.708492758235804,-399.48280776099494,-9.216068886393467,3363.4508426066186,178145.33668684086,332.3607411432144,6.692431169834813,0.9535808721368945,310.2475944661946,-1.8244260246968196,18336.95513585997
H11,,-4.03636363636354,2373.8418181817865,-6.315151515151544,2318.0745454545563,100000.0,331.15,-1.7495707975598884,1680.3670233442335,-8.312276580529012,3037.643890966773,181428.16791208426,331.5774384591737,8.10591610795188,0.9405991947471265,309.9372566521364,-1.74462800653097,18290.384731313872
B7,,-3.9999999999999347,2400.7999999999784,-7.042424242424274,2583.4927272727396,100000.0,335.15,-2.1257728865668692,1833.5610277687515,-6.770242968663547,2470.121161144303,163134.30636693392,335.17662808281455,5.536219244220532,0.9639004097890085,310.78215905300596,-2.124913199264988,18021.28425226584
H6,,-3.27878787878779,2145.3706060605773,-7.133333333333361,2617.070000000011,100000.0,333.15,-1.0411311942141503,1464.9928323326465,-9.093807521315217,3321.1780104317822,176365.65919278827,332.05863951879564,6.727321361349193,0.9506418022632195,309.77653824435424,-1.7934531727042966,18009.829738896227
D7,,-4.987878787878699,2640.5360606060317,-6.272727272727301,2302.031818181829,100000.0,332.15,-2.7404927948517988,1960.2482616692644,-8.23567162329755,3009.201283065094,179647.22091610768,331.07532242030493,7.141219666654353,0.9443805034037707,309.2986651300311,-1.694350198719956,17865.851877251935
D11,,-1.660606060606005,1573.5096969696788,-6.303030303030331,2314.4909090909196,100000.0,332.15,1.1383311639092804,718.3964303305148,-8.665059203571086,3163.3801270609183,179041.35768170372,331.0026337881256,7.088132057997604,0.9468366394732095,309.1664232985976,-1.6871285272455232,17770.191401591303
D12,,-6.224242424242329,2994.1578787878475,-5.4909090909091125,2016.787272727281,100000.0,332.15,-3.618432006371307,2201.070083532033,-7.768520673366413,2836.739681664018,179888.87064764972,330.8184048931854,6.850658822614267,0.9442473896006609,309.1017142432772,-1.6688896605299277,17764.073507315108
