Parameters,kN_fit,bN_fit,kU_fit,bU_fit,dHm_fit,Tm_fit,T_onset,dG_std,dCp_component
A1,1.3933899248403998,433.13674335586,0.4234362778216329,152.98564865676838,7039.054775617144,0.3405170789270713,167.85669068346724,9481.355446143452,0.4585977473386123
A10,1.3280883538082202,412.6037083688949,0.39964049403630447,144.47262487199407,6677.862460200759,0.3363114054763194,159.08975072231192,8995.26694413438,0.45295170890096687
A11,1.2666534001195098,394.2643638074714,0.46449491082276706,168.0274871233778,7131.520450264599,0.3147103945865668,170.05359639649865,9593.63559129135,0.4233113685286598
A12,1.361828116905985,423.08477425337423,0.4019895736919354,145.30303430635948,7098.186994343279,0.35722887531827935,169.1273505573205,9563.903880927834,0.48124673402823054
A2,1.3930292199630334,433.27773576573367,0.42755655237173223,154.40736573433875,7104.0326744254235,0.32919093002721705,169.55473030457432,9569.69765409324,0.4433855974866239
A3,1.8732176514427632,578.0701850883569,0.9709722636482598,357.25901224411564,6715.397083578359,0.43238172364143146,156.8615573095885,9015.412119267043,0.5803896716953358
A4,1.5458033263840225,477.96287482618834,0.6757846978925689,247.14393276304403,6184.713552022221,0.3864056312488969,145.3636763072123,8307.984785785458,0.5189808189407267
A5,1.4103491021817682,436.6135146724716,0.5311517230262622,193.5046778623956,6385.033316737415,0.38909659020021253,150.6863622223927,8585.60019153698,0.5231088392650033
A6,1.3637982147921806,424.11870284494745,0.50266554404389,182.06645439434763,7187.336875051655,0.3361547601565209,171.07126629035815,9668.315715262901,0.45213354158424557
A7,1.27601881257082,396.3718340449114,0.3947747880296578,142.7647529917295,6625.020621999015,0.33747982380677416,157.75499674619374,8920.657129541712,0.4543501799110848
A8,1.5049379477650353,467.72903347159416,0.45618497108409334,164.8810521364826,7560.733690605096,0.36978552734362163,180.2158326394786,10185.601276317926,0.4980914369026321
A9,1.3180649209824278,409.97213439565365,0.3834153288001328,138.35132269017993,6799.2367816104015,0.314051276605105,162.40542489788794,9162.975250125313,0.4231712676951727
B1,1.35291920930776,420.87236169547793,0.40257369989695335,145.2947375303572,7455.29077883459,0.3409573402863852,178.06295384752698,10045.829533814665,0.4593692018814062
