Parameters,kN_fit,bN_fit,kU_fit,bU_fit,dHm_fit,Tm_fit,T_onset,dG_std,dCp_component
A1,0.8765300476960516,272.6268774427909,0.2775830495622285,100.11624587137801,6893.648986822778,0.330243726075064,164.62100743382524,9271.074302805377,0.44406953424349943
A10,1.2893226564377598,398.09881513094825,0.5777474205738504,211.26882451921966,5761.175245401218,0.3979546510446178,135.1860727600756,7727.935808187332,0.5337114054069739
A11,1.1160972748131737,346.3429829149081,0.4030911974145441,146.15285445711208,5804.561189965999,0.31761852361516285,137.7457831811698,7801.368434273045,0.42681361950455915
A12,1.1575067838734476,359.44141724234674,0.37774281232415674,136.63084667111602,6579.259373156432,0.3484864925034209,156.54232116429088,8848.807452627014,0.4686229003644568
A2,1.3653104633432984,423.76881908360536,0.40556301652654975,146.58522902161445,7114.87818299106,0.39156480108749014,169.33731970208353,9576.210535644232,0.526930392615444
A3,2.226087266543452,676.7950753038731,1.2437938880327177,460.0113808994507,8861.310062474602,1.5357029246399825,202.842163530811,11828.867114347546,2.048698633082804
A4,3.5733756063676423,1090.090842811326,1.2743915906486727,468.8160254767403,9570.421819089946,1.6769519719258337,220.991053726555,12839.774118560048,2.2480346332425194
A5,2.860155325123828,876.5879600094704,1.4517761520164374,536.6217952022454,10456.405954705491,0.9183132260985626,242.02171127641228,14015.642109212007,1.230637398264199
A6,3.429125516674983,1056.3830597918022,1.546572922251829,569.7629698658035,13720.440157040715,0.9763377688685067,319.8154246266445,18447.845844459305,1.3125206358649062
A7,2.93587827953508,907.4671123611716,1.2304694894418773,450.57420702373383,11613.362181345314,0.7351681003230933,272.65330970380074,15618.011341099578,0.9885217542113679
A8,2.897948304916649,889.8260717960067,1.5772623084575859,583.0604142530394,11202.793933850719,0.8698739816720056,259.7170862832379,15017.644056406298,1.1658901757354847
A9,1.57750245443904,485.0356900317879,0.9185979742697917,338.4222083541591,6780.320138418561,0.5157854825635967,157.60263871372823,9072.61333335689,0.6900425697432788
B1,1.4034271657206843,436.2321523579496,0.4259214243962202,153.8233968536024,6641.408546643934,0.32429692224560197,158.406012531605,8942.817566206526,0.43660869733280694
B10,1.5258303242692959,474.37502835955297,0.46988229271219806,169.71003963295266,7558.562245295659,0.3632206632911733,180.30559055802578,10177.516982696412,0.48900166312119003
B11,1.5117085625339224,469.14702402289566,0.4324871144483717,156.42151705313825,7225.481399045345,0.3939003528136732,171.91343899057023,9735.128604968455,0.5306237400255353
B12,1.5545613477531648,482.70746705499806,0.46015939731356453,166.39688118307362,7239.300238652218,0.3792970964319993,172.34511174145487,9751.412904458164,0.5108346003252889
B2,1.5095906925891214,468.7864942056386,0.5679353944917431,206.44202929833497,6309.704069827853,0.32058342238407256,149.56126034634426,8494.223941423072,0.43151719223748586
B3,1.3592484501249904,422.16972961850087,0.4838166066963253,175.42563088269003,6080.499574712651,0.30849702289084613,144.4494878906885,8181.055482380936,0.41501102633204595
B4,1.3242003852637285,411.080454928613,0.43819730068084806,158.7417790427281,6177.970367601291,0.3271101370720095,146.81051461774385,8313.943867039572,0.44013682880759947
