Parameters,Condition,kN_init,bN_init,kU_init,bU_init,dHm_init,Tm_init,kN_fit,bN_fit,kU_fit,bU_fit,dHm_fit,Tm_fit,S,BS_factor,T_onset,dCp_component,dG_std
F4,,-5.315151515151438,2778.912424242399,-6.406060606060632,2351.051818181828,100000.0,333.15,-2.980220932361695,2068.256282920604,-8.321483175284415,3038.954016272229,177721.89873861062,331.84719844386143,6.348316179711606,0.9524936377998912,309.7510365725271,-1.7719220368557558,18046.649535382243
A1,,-12.993939393939248,4981.743030302982,-5.2363636363636585,1924.7309090909175,100000.0,331.15,-10.747436142326867,4293.365920036126,-7.111149198382093,2601.017781485941,178478.7420849369,331.6581468404045,4.693231537135016,0.9420998467012139,309.6737086407465,-1.7527733211347893,18032.097069367624
F5,,-6.890909090908979,3283.724545454509,-5.739393939393963,2107.7518181818277,100000.0,333.15,-4.235678793197503,2476.18388096623,-7.813327554435317,2853.2551184650656,178347.54898805646,331.23510280271296,6.980617948424596,0.9481619072107426,309.2897955981579,-1.7102750109152574,17814.07508731411
E2,,-9.630303030302894,3972.0748484848036,-4.375757575757594,1610.4927272727343,100000.0,331.15,-6.344747364504621,2964.1914346058074,-6.34734974508664,2320.7870906653393,181471.15024079249,330.4247475594753,5.9585670018803825,0.9445081690472322,308.93464664611884,-1.6302271497564895,17725.47488228002
F6,,-7.630303030302888,3465.5748484848027,-5.418181818181841,1989.8854545454633,100000.0,332.15,-5.274967957511164,2751.8175151208598,-7.47943130651142,2731.02251258283,175946.634350699,331.3104519571873,7.094385058095716,0.9433323200638665,309.07600523807383,-1.7178089024480983,17610.280270207422
F9,,-5.939393939393825,2953.230303030266,-5.981818181818207,2196.424545454555,100000.0,332.15,-3.364788136320047,2171.86740512737,-8.235089989605216,3006.5580132736495,175651.50252341197,331.0276827244307,7.237739836947092,0.9441470740800396,308.79510995973726,-1.689615534960197,17445.714275327788
H1,,-11.86666666666654,4685.646666666625,-4.7515151515151715,1746.3854545454622,100000.0,332.15,-9.416805817185699,3938.7469615508353,-6.5985897960222015,2411.3614872600165,171363.23125477246,331.68800450954393,5.466039332339257,0.9446586335564274,308.84958684952846,-1.7557911147678489,17327.068644193947
E1,,-10.569696969696832,4171.155151515106,-4.236363636363652,1558.7809090909154,100000.0,331.15,-7.964743011568592,3374.2945640310622,-5.952262036150168,2176.9480213245033,175041.02464531746,330.90148449661194,5.1021139415809795,0.9423938649192924,308.61302830856357,-1.677103193617782,17324.955231504522
F8,,-7.5272727272726065,3492.256363636324,-4.987878787878809,1833.1663636363714,100000.0,331.15,-4.255151571278329,2498.019753021466,-7.249030755377756,2646.477388242981,178735.97493278797,330.13900104628135,7.970736408406319,0.9430620098602471,308.37817597002214,-1.6024279683762188,17318.721117507528
B9,,-11.539393939393792,4609.270303030255,-4.787878787878806,1760.3363636363708,100000.0,331.15,-8.546454589788718,3694.34815859833,-6.753801105261485,2468.0512828939054,173345.4423338232,331.12025282052656,5.819472984624809,0.9448140975927923,308.5998627097971,-1.6988212562715006,17260.32464142244
B10,,-7.903030303030177,3554.8884848484427,-5.539393939393962,2034.521818181827,100000.0,331.15,-5.473596467682733,2821.577111906663,-7.662119761242236,2798.975023213194,174917.4511710085,330.76639942231816,7.640407708278571,0.9385895057767298,308.48085133610306,-1.6637577909602506,17248.35854939169
E12,,-10.109090909090755,4199.225454545403,-4.80000000000002,1763.5200000000077,100000.0,331.15,-6.933720819382652,3228.6923080903002,-6.947797614891128,2536.297443071376,173725.80056926375,331.01367000934664,6.667025663117155,0.9426125857988683,308.55321514856706,-1.6882240586724073,17247.829619413136
E11,,-10.69696969696956,4282.50151515147,-4.4303030303030475,1628.9190909090978,100000.0,332.15,-7.9632802758317744,3445.5240055976205,-5.777906554047662,2112.1684899998827,167523.26625921967,332.3323443590002,5.1236860042518,0.9493611129131813,308.9197261212399,-1.8215041593685797,17230.757320543216
B1,,-9.072727272727159,3940.0336363635993,-5.09696969696972,1872.8190909090995,100000.0,332.15,-5.7591937913462194,2929.075142702888,-7.339404580540365,2679.664972829988,174528.34278661376,330.74980685658636,6.942912339948167,0.9460440551909718,308.42009282750814,-1.6621219970414813,17202.09701682676
D1,,-13.115151515151338,5130.082424242366,-4.842424242424261,1779.7627272727345,100000.0,331.15,-10.14299421644288,4221.9827307870455,-6.712290654145621,2452.581750386912,170613.73602729657,331.5082693667321,5.901224230587174,0.9439840844695114,308.60044796045406,-1.7376613254605182,17168.13572987221
B8,,-10.993939393939248,4436.643030302983,-4.733333333333353,1740.3100000000072,100000.0,331.15,-7.871665376284241,3482.0175906904183,-6.559384417051779,2397.152536405511,172739.07637107215,331.05188747715954,5.81728098012388,0.9463376837019872,308.46684895551664,-1.6920203489683168,17167.82736682511
