Parameters,kN_fit,bN_fit,kU_fit,bU_fit,dHm_fit,Tm_fit,T_onset,dG_std,dCp_component
B11,1.460627827425299,454.5618851860967,0.4568203323252226,164.8739908074399,7519.648394720373,0.33486360284439554,179.6505978478712,10127.173713227341,0.45092250665650213
B12,1.6376499191579688,510.7940390727856,0.5792434683703661,208.7986177848321,8425.993370180408,0.321774305056692,201.8857990187261,11336.169538461723,0.432863225625943
B2,1.4595931861176314,454.33454212965034,0.49404511836235054,178.59875485093278,7122.825697529739,0.31291775903768443,169.95909463730595,9592.14483512937,0.4213476609857242
B3,1.3031933764995143,406.0702120513953,0.45350354436449175,163.7313132445327,6746.571498078646,0.2761433393722275,161.2965128916751,9081.47442405931,0.37167107584964526
B4,1.3558798317381116,422.0517045782505,0.42309626429455754,152.65106513854846,6944.494408125514,0.30455884325541027,165.98711639084675,9352.635671710623,0.41011786858192195
B5,1.6560095194362914,515.2222377647979,0.4784094520238943,172.48690297223794,7704.8243327964565,0.3497031083364476,184.20032641282342,10381.107894647037,0.4711075700576998
B6,1.320642011347546,411.44337636654905,0.46744344190989867,168.77375801824505,7147.070528059664,0.29639032112975716,170.8336993654762,9616.07003050129,0.3987343494712097
B7,1.420328327738787,441.92966683338364,0.4735400195734401,171.13363597794554,7373.084931788636,0.33352181863060837,175.91368731230054,9925.479692395804,0.448921616277902
B8,1.4922835097560485,464.58334949613374,0.4766396034844657,171.98493982541723,7279.825315053363,0.31611475799629174,174.00753552157684,9802.103370986963,0.42558690387698694
B9,1.3181610474190628,411.02227887090714,0.5032099092379977,181.73478003230773,7315.92009950467,0.2872032361412203,174.95254276239163,9839.559239566497,0.38623410177822454
C1,1.175023733263471,365.1326563949575,0.3366250585835377,121.44279586617361,7764.8275173079255,0.39163846927503077,185.3002519300539,10455.358464819055,0.5272569515211583
C10,1.3303887158128085,413.4385318475922,0.4203719491635871,151.95653658783525,7310.542189829215,0.3621824377174119,174.1949989479626,9840.898582628051,0.487470274811308
C11,1.3717328341942632,426.2791815438054,0.4154954750138414,150.12028527878974,7081.664689308607,0.3510480522363494,168.8184462181553,9536.681318980802,0.47267537040422164
C12,1.2595780120521352,392.10924242774576,0.39879958365593726,143.89559093567902,6901.954093744321,0.301057549716188,164.9695799293582,9294.092366361016,0.4053490525319276
C2,1.6238199151905994,504.8829452236787,0.4486157794123639,161.804480992996,7583.78831406496,0.3602658873875903,181.16088582393894,10222.722141679844,0.4855556685929705
C3,1.368007552920772,425.2144881431684,0.403786339034098,145.8824987150098,7435.081141271541,0.36088509971985583,177.3028036372294,10019.265183408312,0.48624542028411455
C4,1.3648533256824609,424.5595880370309,0.414180732970045,149.48264880725392,7220.604935497285,0.3327083611230104,172.44010627386268,9725.250725834949,0.44805458054529484
C5,1.3800739481487034,428.6394742253325,0.4261729222702312,154.06198752835888,7412.442061129449,0.38422109124350884,176.51847699750542,9977.284517089869,0.517086332393182
