Parameters,Condition,kN_init,bN_init,kU_init,bU_init,dHm_init,Tm_init,kN_fit,bN_fit,kU_fit,bU_fit,dHm_fit,Tm_fit,S,BS_factor,T_onset,dCp_component,dG_std
B12,,-5.036363636363579,2739.191818181798,-5.963636363636389,2189.3490909091006,100000.0,331.15,-2.8645684768523196,2084.218118704021,-7.853307572255408,2872.73290906626,188580.6950964028,331.34590001961885,10.147831492244851,0.9295683583190195,310.5030500305768,-1.7213585614537337,18892.963213607785
D10,,-3.3333333333332598,2188.8333333333094,-6.430303030303058,2359.819090909101,100000.0,332.15,-1.3607945908431953,1593.861991747856,-8.152220079468286,2980.5042653150267,181300.7442466533,332.1928768361152,9.340488151008339,0.9355399334442318,310.46065350289683,-1.807185362919924,18579.564274431305
D1,,-4.321212121212047,2500.16939393937,-6.654545454545483,2441.2163636363744,100000.0,332.15,-2.312182916071458,1894.1090840010145,-8.405109339462777,3073.3837404654046,181156.42015892672,332.1540869837173,9.813226040444528,0.930280334296154,310.41059604930865,-1.8032122407410682,18545.786158112103
B9,,-3.739393939393857,2255.7003030302762,-6.230303030303057,2287.1890909091007,100000.0,331.15,-1.519759541700135,1581.7067036555684,-8.166532009595532,2985.626152515992,182674.7979301686,331.58147517437845,8.093145543599183,0.9393034699194057,310.078889483929,-1.7450349834827215,18418.061409417776
E12,,-3.9636363636362795,2406.1581818181544,-6.278787878787905,2303.323636363646,100000.0,332.15,-1.6460428553993254,1704.3030557265627,-8.302782716535338,3032.584816295383,181380.99132750463,331.6928491287868,8.755855350513075,0.9402813910698403,310.0328276834171,-1.7562810010715175,18342.37681912166
B10,,-5.260606060606009,2744.44969696968,-6.4727272727273,2375.6618181818285,100000.0,332.15,-2.912017597593492,2031.2263116092145,-8.521404510960494,3114.6759669630305,181788.56897700974,331.3155460784512,7.909005426569856,0.9387711575900037,309.7484697036587,-1.7183188019659106,18197.507579421297
B6,,-5.860606060605961,2938.539696969664,-6.296969696969723,2311.5990909091,100000.0,332.15,-3.5341857621879287,2233.0059680419613,-8.326627814944342,3043.637736090984,181089.31412286725,331.31128298015835,7.638286922484026,0.9410291080077808,309.66690733948843,-1.7178920794438355,18125.413467040988
B3,,-3.254545454545379,2101.5427272727025,-6.096969696969724,2238.1690909091008,100000.0,331.15,-0.5594626961907069,1280.202843569168,-8.451858240374534,3086.2122120975846,181568.07970516288,330.962919251356,7.479634803880878,0.9443259246230974,309.4158012534115,-1.6831889310228831,18001.34816149764
C9,,-7.139393939393833,3309.0103030302676,-5.909090909090934,2169.722727272737,100000.0,331.15,-4.280682445563159,2434.5538497817097,-8.368211108530756,3055.171732653721,180100.55617928898,331.0582250421614,6.744567622986684,0.9447613403458585,309.33495551806686,-1.6926502681582782,17902.559684815802
B8,,-5.442424242424158,2800.05878787876,-5.2787878787879015,1939.1736363636448,100000.0,331.15,-2.777624620539988,1991.651098556529,-7.605253507159634,2777.687771663944,180798.51832632418,330.76012212293426,8.081710953302544,0.940190886234432,309.1529219433984,-1.663138849179262,17825.18921696274
